Symbol	GeneID	log2FoldChange	padj	pvalue	EnsemblGeneID
CHMP1A	5119	-2.1548256	1.99e-33	1.81e-34	ENSG00000131165
BRPF1	7862	-4.9999887	2.13e-33	1.93e-34	ENSG00000156983
SVIL	6840	-3.5290931	2.18e-33	1.98e-34	ENSG00000197321
ATP2A2	488	-2.9584714	2.19e-33	1.99e-34	ENSG00000174437
TIMM17A	10440	-2.1114468	2.68e-33	2.44e-34	ENSG00000134375
C17orf80	55028	-2.6313857	2.73e-33	2.5e-34	ENSG00000141219
NARS2	79731	-2.2700576	2.78e-33	2.54e-34	ENSG00000137513
RASA3	22821	1.4101017	2.93e-33	2.67e-34	ENSG00000185989
USP16	10600	1.5207249	2.96e-33	2.71e-34	ENSG00000156256
GMPR2	51292	-2.5042645	3.06e-33	2.8e-34	ENSG00000100938
UBA1	7317	-2.0139132	3.15e-33	2.89e-34	ENSG00000130985
RANBP10	57610	-2.3379364	3.51e-33	3.22e-34	ENSG00000141084
MRPS33	51650	-2.2393016	3.77e-33	3.46e-34	ENSG00000090263
NOCT	25819	-2.4810201	4.13e-33	3.8e-34	ENSG00000151014
INTS10	55174	-1.967107	4.6e-33	4.24e-34	ENSG00000104613
BCOR	54880	-2.5650525	4.73e-33	4.36e-34	ENSG00000183337
SETDB1	9869	1.5693958	4.86e-33	4.48e-34	ENSG00000143379
FNTA	2339	-2.0002216	5.54e-33	5.11e-34	ENSG00000168522
ANKRD37	353322	-5.7223028	5.92e-33	5.47e-34	ENSG00000186352
C1orf43	25912	1.2838006	6.16e-33	5.71e-34	ENSG00000143612
C5orf22	55322	-3.5328215	6.88e-33	6.38e-34	ENSG00000082213
POLK	51426	-3.1947631	7.24e-33	6.72e-34	ENSG00000122008
VAMP5	10791	-2.522481	7.6e-33	7.06e-34	ENSG00000168899
TMEM205	374882	-1.4939674	8e-33	7.44e-34	ENSG00000105518
MTX2	10651	-1.3882441	8.19e-33	7.61e-34	ENSG00000128654
C3orf38	285237	-1.5781673	8.25e-33	7.68e-34	ENSG00000179021
ATRN	8455	-2.015299	8.74e-33	8.14e-34	ENSG00000088812
AP5M1	55745	1.811962	9.02e-33	8.41e-34	ENSG00000053770
STING1	340061	-3.550317	9.56e-33	8.93e-34	ENSG00000184584
PATL1	219988	-2.0921346	1.06e-32	9.95e-34	ENSG00000166889
APTX	54840	-2.4034153	1.11e-32	1.04e-33	ENSG00000137074
ZSCAN20	7579	-3.7050791	1.22e-32	1.14e-33	ENSG00000121903
SEC61G	23480	-1.8851453	1.33e-32	1.24e-33	ENSG00000132432
DNMT1	1786	-3.5003692	1.34e-32	1.26e-33	ENSG00000130816
CNPPD1	27013	-1.5582793	1.35e-32	1.27e-33	ENSG00000115649
PRELID3B	51012	-1.5395207	1.38e-32	1.3e-33	ENSG00000101166
AKAP1	8165	-6.5909938	1.48e-32	1.39e-33	ENSG00000121057
RRP15	51018	2.5790921	1.68e-32	1.58e-33	ENSG00000067533
IK	3550	-2.2215357	1.68e-32	1.58e-33	ENSG00000113141
ZNF569	148266	-2.7242138	1.68e-32	1.59e-33	ENSG00000196437
PDE6D	5147	-1.9762562	1.87e-32	1.76e-33	ENSG00000156973
DDX19A	55308	-4.3346826	2.03e-32	1.92e-33	ENSG00000168872
JMJD1C	221037	-2.4310951	2.06e-32	1.95e-33	ENSG00000171988
MOB1B	92597	-1.812884	2.07e-32	1.96e-33	ENSG00000173542
TNFAIP3	7128	-6.2365653	2.2e-32	2.09e-33	ENSG00000118503
MBD2	8932	-2.2375508	2.33e-32	2.21e-33	ENSG00000134046
MOB3C	148932	1.9781896	2.9e-32	2.76e-33	ENSG00000142961
STT3B	201595	-2.0552928	3.3e-32	3.14e-33	ENSG00000163527
SF3B5	83443	-2.0630678	3.78e-32	3.6e-33	ENSG00000169976
ADGRL2	23266	-5.1028442	3.8e-32	3.62e-33	ENSG00000117114
CDK11A	728642	-5.1504508	3.81e-32	3.64e-33	ENSG00000008128
SHPRH	257218	-2.0887433	3.93e-32	3.76e-33	ENSG00000146414
NUP205	23165	-7.4195157	3.97e-32	3.8e-33	ENSG00000155561
ZNRF3	84133	-2.9442096	4.03e-32	3.85e-33	ENSG00000183579
GPRC5A	9052	-7.3618971	4.05e-32	3.88e-33	ENSG00000013588
NR1D2	9975	-3.1935814	4.06e-32	3.89e-33	ENSG00000174738
ZNG1B	150472	-1.2425833	4.11e-32	3.94e-33	ENSG00000136682
CCDC80	151887	-3.3329701	4.24e-32	4.08e-33	ENSG00000091986
BABAM1	29086	-1.9991695	4.27e-32	4.1e-33	ENSG00000105393
BMAL2	56938	-6.1849426	4.31e-32	4.15e-33	ENSG00000029153
GPR135	64582	2.4414681	4.31e-32	4.15e-33	ENSG00000181619
SACM1L	22908	1.3217353	4.42e-32	4.26e-33	ENSG00000211456
TMEM138	51524	-1.7099847	4.54e-32	4.38e-33	ENSG00000149483
WIPI1	55062	2.0930734	4.59e-32	4.44e-33	ENSG00000070540
NSRP1	84081	-6.8013926	4.91e-32	4.75e-33	ENSG00000126653
NUBPL	80224	-5.5423413	5.11e-32	4.95e-33	ENSG00000151413
FBXL12	54850	1.7092459	5.13e-32	4.96e-33	ENSG00000127452
ZC3H8	84524	2.08649	5.14e-32	4.98e-33	ENSG00000144161
SLC46A3	283537	-3.8128106	5.15e-32	4.99e-33	ENSG00000139508
TPM4	7171	-1.4796044	5.24e-32	5.08e-33	ENSG00000167460
ATF6B	1388	1.2076349	5.47e-32	5.32e-33	ENSG00000213676
DMWD	1762	1.7935079	5.51e-32	5.35e-33	ENSG00000185800
CDK12	51755	1.4513427	5.55e-32	5.4e-33	ENSG00000167258
PIAS1	8554	1.4414794	5.74e-32	5.58e-33	ENSG00000033800
RBM4	5936	1.6312656	5.99e-32	5.84e-33	ENSG00000173933
HDAC1	3065	1.6395183	6e-32	5.85e-33	ENSG00000116478
RBM14-RBM4	100526737	1.6313588	6e-32	5.86e-33	ENSG00000248643
TPD52L2	7165	1.1117489	6.26e-32	6.12e-33	ENSG00000101150
NIPAL2	79815	2.2066102	6.9e-32	6.75e-33	ENSG00000104361
PIK3CA	5290	-3.6509423	7.05e-32	6.9e-33	ENSG00000121879
SENP2	59343	-1.7819417	7.12e-32	6.97e-33	ENSG00000163904
REL	5966	-2.4405155	7.35e-32	7.2e-33	ENSG00000162924
MDC1	9656	1.8563211	7.49e-32	7.35e-33	ENSG00000137337
PSMC3IP	29893	3.0144894	7.55e-32	7.41e-33	ENSG00000131470
PIGB	9488	-2.6955649	7.58e-32	7.45e-33	ENSG00000069943
MIOS	54468	1.6376117	7.9e-32	7.77e-33	ENSG00000164654
TGS1	96764	-2.6978602	8.08e-32	7.96e-33	ENSG00000137574
TEFM	79736	-3.1554533	8.58e-32	8.45e-33	ENSG00000172171
MAMDC2	256691	-4.0334097	8.59e-32	8.46e-33	ENSG00000165072
CDK13	8621	-2.2305043	8.9e-32	8.78e-33	ENSG00000065883
TPM3	7170	-2.1157263	1.03e-31	1.02e-32	ENSG00000143549
IER3IP1	51124	-2.1231748	1.15e-31	1.14e-32	ENSG00000134049
ABCF3	55324	-1.7180765	1.3e-31	1.29e-32	ENSG00000161204
HTD2	109703458	-1.4346148	1.42e-31	1.41e-32	ENSG00000255154
SPRYD3	84926	-2.278955	1.58e-31	1.56e-32	ENSG00000167778
MRPS11	64963	-1.9440328	1.71e-31	1.7e-32	ENSG00000181991
ZNF362	149076	-3.1957748	1.72e-31	1.7e-32	ENSG00000160094
TEP1	7011	-3.0887018	1.81e-31	1.8e-32	ENSG00000129566
CCDC32	90416	-2.5458787	1.82e-31	1.81e-32	ENSG00000128891
C1orf52	148423	-1.7884201	1.87e-31	1.86e-32	ENSG00000162642
CENPJ	55835	-6.831545	1.89e-31	1.88e-32	ENSG00000151849
SPECC1L	23384	-2.2042491	1.93e-31	1.92e-32	ENSG00000100014
RABL3	285282	-1.6187237	2.09e-31	2.09e-32	ENSG00000144840
NCOA2	10499	1.5320181	2.1e-31	2.1e-32	ENSG00000140396
NDST1	3340	-1.9591468	2.24e-31	2.23e-32	ENSG00000070614
TNFRSF10B	8795	-2.7857856	2.38e-31	2.38e-32	ENSG00000120889
STRN	6801	-2.3068914	2.46e-31	2.46e-32	ENSG00000115808
RAP1GDS1	5910	-2.651638	2.48e-31	2.48e-32	ENSG00000138698
MXD1	4084	-3.9881273	2.54e-31	2.54e-32	ENSG00000059728
C1orf159	54991	-5.2763285	2.54e-31	2.55e-32	ENSG00000131591
PMS1	5378	-4.6956231	2.55e-31	2.56e-32	ENSG00000064933
SPAG7	9552	-1.5356705	2.63e-31	2.64e-32	ENSG00000091640
UCKL1	54963	-1.9399098	2.66e-31	2.68e-32	ENSG00000198276
BCAS2	10286	1.2852219	2.71e-31	2.73e-32	ENSG00000116752
JAM2	58494	-5.2771041	2.72e-31	2.74e-32	ENSG00000154721
HDAC2	3066	-1.0765821	2.78e-31	2.81e-32	ENSG00000196591
SPRTN	83932	-2.0558422	2.79e-31	2.81e-32	ENSG00000010072
MCRIP1	348262	1.8908228	2.84e-31	2.86e-32	ENSG00000225663
JMY	133746	-3.6878397	2.85e-31	2.88e-32	ENSG00000152409
NFYB	4801	-3.2152265	2.9e-31	2.93e-32	ENSG00000120837
IFNAR2	3455	-2.3541746	2.9e-31	2.94e-32	ENSG00000159110
C21orf91	54149	1.8945762	3.02e-31	3.05e-32	ENSG00000154642
TTI2	80185	-5.9111429	3.26e-31	3.3e-32	ENSG00000129696
CASD1	64921	-3.2598484	3.33e-31	3.38e-32	ENSG00000127995
TFEB	7942	-3.3427552	3.4e-31	3.45e-32	ENSG00000112561
ABL2	27	-4.1142841	3.82e-31	3.88e-32	ENSG00000143322
SEC16A	9919	1.6989722	3.85e-31	3.92e-32	ENSG00000148396
ZNF768	79724	-1.5125834	3.88e-31	3.95e-32	ENSG00000169957
MSANTD2	79684	-4.4474117	3.95e-31	4.02e-32	ENSG00000120458
QTRT2	79691	-2.3304374	3.98e-31	4.06e-32	ENSG00000151576
SDC1	6382	-5.1051421	4.25e-31	4.33e-32	ENSG00000115884
CAMK2D	817	-7.2092853	4.27e-31	4.36e-32	ENSG00000145349
RPP14	11102	-1.4282376	4.41e-31	4.51e-32	ENSG00000163684
TBCEL	219899	-1.7014741	4.47e-31	4.58e-32	ENSG00000154114
NDUFS6	4726	-2.0863505	4.77e-31	4.88e-32	ENSG00000145494
SLC38A9	153129	-5.0764915	5.16e-31	5.29e-32	ENSG00000177058
TSC22D4	81628	-1.3921545	5.16e-31	5.3e-32	ENSG00000166925
TBC1D10B	26000	-1.6984199	5.29e-31	5.43e-32	ENSG00000169221
NCBP2	22916	-1.7679918	5.3e-31	5.45e-32	ENSG00000114503
SLC35E3	55508	-2.1549133	5.3e-31	5.45e-32	ENSG00000175782
CDK17	5128	-2.3839347	5.68e-31	5.84e-32	ENSG00000059758
USB1	79650	-2.0877106	5.71e-31	5.88e-32	ENSG00000103005
ARSG	22901	2.0097226	5.73e-31	5.9e-32	ENSG00000141337
USP42	84132	-1.4440426	5.8e-31	5.98e-32	ENSG00000106346
FLI1	2313	-2.5030719	6.01e-31	6.2e-32	ENSG00000151702
OTUD6B	51633	1.6417547	6.23e-31	6.43e-32	ENSG00000155100
COX18	285521	-1.6751571	6.31e-31	6.53e-32	ENSG00000163626
MLH3	27030	-2.3372304	6.31e-31	6.53e-32	ENSG00000119684
SIKE1	80143	1.5137426	6.58e-31	6.81e-32	ENSG00000052723
DESI2	51029	-2.606079	6.61e-31	6.85e-32	ENSG00000121644
COA4	51287	-2.0787337	6.67e-31	6.92e-32	ENSG00000181924
CTPS1	1503	-3.3694189	6.95e-31	7.21e-32	ENSG00000171793
COA6	388753	-6.5355214	7.28e-31	7.56e-32	ENSG00000168275
ZNF765-ZNF761	110116772	1.3477247	7.91e-31	8.23e-32	NA
CAVIN2	8436	-8.9086045	7.93e-31	8.25e-32	ENSG00000168497
DUS1L	64118	3.0176657	9e-31	9.38e-32	ENSG00000169718
USP1	7398	-6.7702045	9.18e-31	9.57e-32	ENSG00000162607
WDR74	54663	-1.7211472	9.85e-31	1.03e-31	ENSG00000133316
CCDC43	124808	-1.9353789	1e-30	1.05e-31	ENSG00000180329
HOXD3	3232	3.2638739	1.01e-30	1.06e-31	ENSG00000128652
RNF166	115992	-4.0952211	1.04e-30	1.08e-31	ENSG00000158717
FGD1	2245	-4.5544323	1.09e-30	1.14e-31	ENSG00000102302
CBX1	10951	-3.1077507	1.14e-30	1.19e-31	ENSG00000108468
GCDH	2639	-3.4242476	1.14e-30	1.2e-31	ENSG00000105607
ERCC1	2067	-1.5486955	1.17e-30	1.23e-31	ENSG00000012061
WAC	51322	1.3771082	1.18e-30	1.24e-31	ENSG00000095787
SLC25A12	8604	-4.1140377	1.29e-30	1.35e-31	ENSG00000115840
SPAST	6683	1.4262698	1.31e-30	1.38e-31	ENSG00000021574
EFNA4	1945	3.3134714	1.32e-30	1.39e-31	ENSG00000243364
GALNT2	2590	-1.7415075	1.4e-30	1.48e-31	ENSG00000143641
COX6C	1345	-2.8544471	1.43e-30	1.51e-31	ENSG00000164919
TBC1D4	9882	-6.0768453	1.51e-30	1.6e-31	ENSG00000136111
MORN2	729967	-4.0665396	1.55e-30	1.64e-31	ENSG00000188010
MLLT6	4302	1.9417285	1.58e-30	1.66e-31	ENSG00000275023
ATP5F1C	509	-1.1559282	1.81e-30	1.91e-31	ENSG00000165629
MAP3K3	4215	-2.1284696	1.9e-30	2.01e-31	ENSG00000198909
DZIP1	22873	1.5836499	2.18e-30	2.31e-31	ENSG00000134874
PCF11	51585	1.6381596	2.25e-30	2.38e-31	ENSG00000165494
LY96	23643	-6.6930657	2.28e-30	2.42e-31	ENSG00000154589
HGSNAT	138050	-2.3829146	2.4e-30	2.55e-31	ENSG00000165102
FOXC1	2296	-3.9821209	2.52e-30	2.68e-31	ENSG00000054598
PACSIN3	29763	-2.6773776	2.54e-30	2.7e-31	ENSG00000165912
TSC1	7248	1.5003985	2.54e-30	2.7e-31	ENSG00000165699
FMNL3	91010	1.9639677	2.54e-30	2.7e-31	ENSG00000161791
ASXL1	171023	1.441414	2.63e-30	2.8e-31	ENSG00000171456
MSANTD4	84437	-2.7438418	2.64e-30	2.82e-31	ENSG00000170903
CENATAC	338657	-3.6653304	2.65e-30	2.83e-31	ENSG00000186166
RBM23	55147	-2.6177471	2.68e-30	2.86e-31	ENSG00000100461
STUB1	10273	-2.3574635	2.75e-30	2.93e-31	ENSG00000103266
SUGCT	79783	-6.7533303	2.76e-30	2.95e-31	ENSG00000175600
ZNF573	126231	-3.2176195	2.87e-30	3.07e-31	ENSG00000189144
DAP3	7818	-1.98263	2.93e-30	3.13e-31	ENSG00000132676
ATM	472	-6.4056018	3.05e-30	3.26e-31	ENSG00000149311
CGRRF1	10668	-4.247911	3.14e-30	3.37e-31	ENSG00000100532
ZRANB2	9406	-3.5751353	3.24e-30	3.48e-31	ENSG00000132485
TEAD1	7003	-3.583527	3.26e-30	3.5e-31	ENSG00000187079
ABITRAM	54942	1.8601596	3.27e-30	3.52e-31	ENSG00000119328
TRAFD1	10906	-2.0004562	3.54e-30	3.81e-31	ENSG00000135148
CYB5R2	51700	-6.1718765	3.6e-30	3.88e-31	ENSG00000166394
HSPA13	6782	-2.3875347	3.65e-30	3.94e-31	ENSG00000155304
RAN	5901	-1.5979957	3.71e-30	4e-31	ENSG00000132341
RBM18	92400	-1.4747924	3.84e-30	4.14e-31	ENSG00000119446
GOLT1B	51026	-1.2996025	4.09e-30	4.42e-31	ENSG00000111711
CFAP298	56683	-3.626673	4.18e-30	4.52e-31	ENSG00000159079
ADARB1	104	-3.6454266	4.22e-30	4.56e-31	ENSG00000197381
WDR41	55255	1.2662182	4.5e-30	4.87e-31	ENSG00000164253
COX5B	1329	1.1010477	4.62e-30	5.01e-31	ENSG00000135940
NIN	51199	1.5846112	4.65e-30	5.04e-31	ENSG00000100503
LIN37	55957	-2.1547547	4.74e-30	5.15e-31	ENSG00000267796
CXCL1	2919	-7.4549408	4.93e-30	5.36e-31	ENSG00000163739
RNF185	91445	-2.2916806	5.37e-30	5.84e-31	ENSG00000138942
RWDD2B	10069	-3.0009243	5.66e-30	6.16e-31	ENSG00000156253
MEIS1	4211	1.9328363	5.69e-30	6.2e-31	ENSG00000143995
TMEM263	90488	1.7558086	5.83e-30	6.35e-31	ENSG00000151135
ARHGEF9	23229	-2.5145521	6.17e-30	6.73e-31	ENSG00000131089
TATDN3	128387	-1.8879901	6.2e-30	6.78e-31	ENSG00000203705
ZNF91	7644	1.8363269	6.35e-30	6.95e-31	ENSG00000167232
NARS1	4677	1.6547506	6.67e-30	7.3e-31	ENSG00000134440
CALM2	805	-1.402543	6.72e-30	7.35e-31	ENSG00000143933
RPL36AL	6166	-2.2735309	6.76e-30	7.4e-31	ENSG00000165502
N4BP1	9683	-1.5225952	6.81e-30	7.47e-31	ENSG00000102921
PTPN23	25930	1.8500214	7.06e-30	7.74e-31	ENSG00000076201
ACADM	34	-4.1085097	8.64e-30	9.48e-31	ENSG00000117054
STARD9	57519	2.2152899	8.68e-30	9.54e-31	ENSG00000159433
GAREM1	64762	-3.0557121	8.69e-30	9.55e-31	ENSG00000141441
CEP68	23177	1.6630848	8.69e-30	9.56e-31	ENSG00000011523
VPS39	23339	2.0478972	1.02e-29	1.12e-30	ENSG00000166887
TTC1	7265	-2.2677436	1.09e-29	1.2e-30	ENSG00000113312
HELZ	9931	-2.1305512	1.12e-29	1.24e-30	ENSG00000198265
FIS1	51024	-1.6756238	1.13e-29	1.25e-30	ENSG00000214253
ZMYM6	9204	1.336582	1.16e-29	1.28e-30	ENSG00000163867
LIN52	91750	-3.4684915	1.19e-29	1.32e-30	ENSG00000205659
GPR89B	51463	-1.404074	1.23e-29	1.36e-30	ENSG00000188092
LCORL	254251	2.166736	1.28e-29	1.41e-30	ENSG00000178177
USP15	9958	-1.639079	1.33e-29	1.47e-30	ENSG00000135655
CLEC11A	6320	-4.2768131	1.36e-29	1.51e-30	ENSG00000105472
NGLY1	55768	1.5124674	1.47e-29	1.64e-30	ENSG00000151092
SOS2	6655	-6.2398162	1.59e-29	1.76e-30	ENSG00000100485
ZNF445	353274	-2.0287097	1.73e-29	1.92e-30	ENSG00000185219
MTDH	92140	1.8406482	1.75e-29	1.95e-30	ENSG00000147649
ARPP19	10776	-1.4933394	1.75e-29	1.95e-30	ENSG00000128989
ADSL	158	-1.7444518	1.78e-29	1.98e-30	ENSG00000239900
FEM1B	10116	1.5918498	1.79e-29	1.99e-30	ENSG00000169018
TM2D1	83941	-1.5963035	1.9e-29	2.12e-30	ENSG00000162604
AMMECR1	9949	1.6003529	1.9e-29	2.12e-30	ENSG00000101935
RALGAPA1	253959	-3.0760399	1.93e-29	2.15e-30	ENSG00000174373
USP48	84196	1.1629858	1.94e-29	2.18e-30	ENSG00000090686
PIK3R1	5295	2.1898493	1.94e-29	2.17e-30	ENSG00000145675
PRTFDC1	56952	-4.3050434	2.09e-29	2.34e-30	ENSG00000099256
STT3A	3703	1.3252778	2.13e-29	2.38e-30	ENSG00000134910
TMEM14A	28978	1.4135882	2.27e-29	2.55e-30	ENSG00000096092
TMA7	51372	-2.6711727	2.36e-29	2.65e-30	ENSG00000232112
ACBD6	84320	-2.1125509	2.36e-29	2.65e-30	ENSG00000230124
PDCD5	9141	-1.6013192	2.47e-29	2.77e-30	ENSG00000105185
VPS26C	10311	1.0557256	2.66e-29	2.99e-30	ENSG00000157538
IFI44	10561	-4.0600587	2.67e-29	3.01e-30	ENSG00000137965
SEC11C	90701	-2.9304035	2.67e-29	3.01e-30	ENSG00000166562
DPH6	89978	-4.0384535	2.77e-29	3.13e-30	ENSG00000134146
TFAM	7019	-2.7187724	2.94e-29	3.32e-30	ENSG00000108064
AGA	175	-2.628452	2.97e-29	3.36e-30	ENSG00000038002
SLC22A17	51310	-2.1925084	3.11e-29	3.51e-30	ENSG00000092096
WRAP53	55135	-4.1572592	3.16e-29	3.57e-30	ENSG00000141499
H1-4	3008	-3.0037254	3.26e-29	3.69e-30	ENSG00000168298
DFFA	1676	1.9021045	3.33e-29	3.77e-30	ENSG00000160049
RLIM	51132	1.3793759	3.36e-29	3.81e-30	ENSG00000131263
SNAPC1	6617	-2.0915149	3.36e-29	3.82e-30	ENSG00000023608
G3BP1	10146	-1.024372	3.46e-29	3.93e-30	ENSG00000145907
MRPS27	23107	1.3638301	3.76e-29	4.28e-30	ENSG00000113048
PPM1D	8493	1.6711119	4.3e-29	4.89e-30	ENSG00000170836
CA5B	11238	-2.3539545	4.68e-29	5.33e-30	ENSG00000169239
AHCYL1	10768	-1.5918351	4.88e-29	5.56e-30	ENSG00000168710
EIF5A2	56648	-2.3224842	5.19e-29	5.92e-30	ENSG00000163577
SLC36A4	120103	-2.8550157	5.35e-29	6.1e-30	ENSG00000180773
GOLGA5	9950	1.1489497	5.82e-29	6.65e-30	ENSG00000066455
MCEE	84693	-2.6053466	5.85e-29	6.69e-30	ENSG00000124370
IDH3B	3420	-2.9652106	5.98e-29	6.84e-30	ENSG00000101365
KDM4C	23081	1.1990733	5.98e-29	6.85e-30	ENSG00000107077
PLEKHG2	64857	1.5616232	6.11e-29	7.01e-30	ENSG00000090924
SNX13	23161	-3.6516211	6.16e-29	7.06e-30	ENSG00000071189
TRAPPC10	7109	1.8904817	6.91e-29	7.93e-30	ENSG00000160218
TECPR2	9895	1.3588686	7.15e-29	8.21e-30	ENSG00000196663
SLC35D2	11046	-5.2023086	7.22e-29	8.3e-30	ENSG00000130958
ATP6V0A2	23545	-6.4021973	7.4e-29	8.51e-30	ENSG00000185344
GPR89A	653519	-1.41351	7.54e-29	8.68e-30	ENSG00000117262
UQCRB	7381	1.3099566	7.71e-29	8.88e-30	ENSG00000156467
ILK	3611	1.2531959	7.92e-29	9.13e-30	ENSG00000166333
CEP41	95681	-2.3797419	7.93e-29	9.14e-30	ENSG00000106477
MMADHC	27249	-1.7948664	8.03e-29	9.27e-30	ENSG00000168288
PTBP1	5725	1.8130073	8.15e-29	9.42e-30	ENSG00000011304
BAZ1B	9031	-1.6613593	8.7e-29	1.01e-29	ENSG00000009954
INTS13	55726	-2.0970195	8.75e-29	1.01e-29	ENSG00000064102
MED1	5469	-2.7813674	9.21e-29	1.07e-29	ENSG00000125686
MRPL10	124995	1.417848	9.25e-29	1.07e-29	ENSG00000159111
ZBTB24	9841	-2.8218865	9.27e-29	1.07e-29	ENSG00000112365
MXRA8	54587	-3.0862277	9.44e-29	1.1e-29	ENSG00000162576
ZNF738	148203	-2.5152811	9.55e-29	1.11e-29	ENSG00000172687
KCMF1	56888	1.2484969	1e-28	1.16e-29	ENSG00000176407
ZNF737	100129842	1.7180221	1.01e-28	1.17e-29	ENSG00000237440
MEDAG	84935	-4.9364224	1.04e-28	1.21e-29	ENSG00000102802
PPP1CB	5500	1.463364	1.07e-28	1.25e-29	ENSG00000213639
MCM8	84515	-6.4012091	1.11e-28	1.29e-29	ENSG00000125885
COMMD4	54939	-2.1513089	1.12e-28	1.31e-29	ENSG00000140365
TBC1D12	23232	-3.2982805	1.18e-28	1.38e-29	ENSG00000108239
DNAJC24	120526	-5.1674457	1.18e-28	1.38e-29	ENSG00000170946
QTRT1	81890	1.5837545	1.18e-28	1.38e-29	ENSG00000213339
FCGRT	2217	-2.5617904	1.19e-28	1.39e-29	ENSG00000104870
CD302	9936	-6.7869847	1.25e-28	1.46e-29	ENSG00000241399
TERF1	7013	-3.8865104	1.25e-28	1.46e-29	ENSG00000147601
FOXRED1	55572	2.1408561	1.27e-28	1.49e-29	ENSG00000110074
SMIM26	388789	-1.3644813	1.31e-28	1.54e-29	ENSG00000232388
ARSA	410	-2.6643476	1.43e-28	1.68e-29	ENSG00000100299
TTC4	7268	1.4509899	1.44e-28	1.69e-29	ENSG00000243725
ZNF182	7569	1.6650795	1.48e-28	1.74e-29	ENSG00000147118
RPL22L1	200916	-4.0690747	1.6e-28	1.88e-29	ENSG00000163584
CDC40	51362	1.4228406	1.61e-28	1.89e-29	ENSG00000168438
COL15A1	1306	-5.2837278	1.77e-28	2.08e-29	ENSG00000204291
TTC23	64927	-6.3202437	1.83e-28	2.15e-29	ENSG00000103852
NUDT12	83594	-5.1116713	1.85e-28	2.18e-29	ENSG00000112874
MAP2K5	5607	-2.6083139	1.92e-28	2.27e-29	ENSG00000137764
SNX7	51375	-1.4343515	2.04e-28	2.41e-29	ENSG00000162627
SECISBP2L	9728	-4.9648148	2.05e-28	2.42e-29	ENSG00000138593
MORN1	79906	-4.7087003	2.05e-28	2.42e-29	ENSG00000116151
TRAF3	7187	1.554419	2.09e-28	2.47e-29	ENSG00000131323
OXCT1	5019	-2.7041189	2.12e-28	2.51e-29	ENSG00000083720
PHIP	55023	-8.0469489	2.14e-28	2.53e-29	ENSG00000146247
ZDHHC8	29801	1.6628199	2.2e-28	2.6e-29	ENSG00000099904
SF3A1	10291	1.2700234	2.25e-28	2.66e-29	ENSG00000099995
TMEM117	84216	-2.8760388	2.41e-28	2.86e-29	ENSG00000139173
HAT1	8520	-2.0824942	2.55e-28	3.03e-29	ENSG00000128708
SMURF1	57154	1.5165674	2.57e-28	3.05e-29	ENSG00000198742
THEM4	117145	-2.8691663	2.65e-28	3.15e-29	ENSG00000159445
S100A13	6284	1.2254689	2.73e-28	3.24e-29	ENSG00000189171
IMPACT	55364	1.6252094	2.79e-28	3.32e-29	ENSG00000154059
CCT8	10694	-1.2336689	2.79e-28	3.33e-29	ENSG00000156261
ECI1	1632	-2.0667788	2.81e-28	3.35e-29	ENSG00000167969
GRAMD2B	65983	-3.4304475	2.9e-28	3.45e-29	ENSG00000155324
EPM2A	7957	-4.0401787	3e-28	3.58e-29	ENSG00000112425
LEMD2	221496	-1.0861004	3.01e-28	3.6e-29	ENSG00000161904
RRP8	23378	-1.8923686	3.1e-28	3.71e-29	ENSG00000132275
AGGF1	55109	1.2195486	3.19e-28	3.81e-29	ENSG00000164252
ZNF343	79175	-3.3203387	3.33e-28	3.98e-29	ENSG00000088876
TYW3	127253	-2.5720393	3.41e-28	4.08e-29	ENSG00000162623
NEDD9	4739	-3.1135458	3.49e-28	4.18e-29	ENSG00000111859
PALB2	79728	-1.8303258	3.6e-28	4.31e-29	ENSG00000083093
PHKA2	5256	-2.0237168	3.67e-28	4.4e-29	ENSG00000044446
SOWAHC	65124	-2.6415815	3.74e-28	4.49e-29	ENSG00000198142
SAMD8	142891	-2.6479157	3.87e-28	4.65e-29	ENSG00000156671
ZZZ3	26009	1.1407209	3.93e-28	4.72e-29	ENSG00000036549
C1orf198	84886	-3.071176	4.28e-28	5.15e-29	ENSG00000119280
FBRS	64319	-2.2636738	4.52e-28	5.44e-29	ENSG00000156860
YTHDC2	64848	-6.9978276	4.62e-28	5.56e-29	ENSG00000047188
EDEM3	80267	1.2317168	4.68e-28	5.65e-29	ENSG00000116406
ZBED6	100381270	1.5917063	4.79e-28	5.77e-29	ENSG00000257315
CNNM4	26504	1.7383333	4.81e-28	5.8e-29	ENSG00000158158
PLEKHO1	51177	-2.1761729	4.92e-28	5.94e-29	ENSG00000023902
RB1	5925	-2.1004294	5.01e-28	6.05e-29	ENSG00000139687
FAM98B	283742	-2.7992672	5.03e-28	6.08e-29	ENSG00000171262
ARHGAP33	115703	1.996544	5.6e-28	6.78e-29	ENSG00000004777
PARG	8505	-2.7962239	5.86e-28	7.09e-29	ENSG00000227345
TSSC4	10078	1.5479809	6.19e-28	7.5e-29	ENSG00000184281
MTHFD1L	25902	-1.8650953	6.35e-28	7.7e-29	ENSG00000120254
ZNF672	79894	-2.4720206	6.42e-28	7.79e-29	ENSG00000171161
ERP44	23071	-1.894249	6.46e-28	7.84e-29	ENSG00000023318
